model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM00026	BL0479F1894P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00226	LG1179F2089P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01346	TM01346F911P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM01448	TM01448FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000077973	J000093626	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00356	LG0552F574P0000P1027P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000100675	J000102706	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106569	DFAM-61345-V1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00222	LG1102F1846P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000104256	J000105317	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM01619	TM01619F497P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00977	PA0277F091P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000117541	J000119744	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00015	BL0269F404P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00206	LG0812PE1330P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00298	PR1996F336P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000106527	BCM-3469	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
